position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,year
14,Levante,38.0,12,9,17,41,52,−11,45,2010-11
6,Levante,38.0,16,7,15,54,50,+4,55,2011-12
11,Levante,38.0,12,10,16,40,57,−17,46,2012-13
10,Levante,38.0,12,12,14,35,43,−8,48,2013-14
14,Levante,38.0,9,10,19,34,67,−33,37,2014-15
20,Levante,38.0,8,8,22,37,70,−33,32,2015-16
15,Levante,38.0,11,13,14,44,58,−14,46,2017-18
15,Levante,38.0,11,11,16,59,66,−7,44,2018-19
12,Levante,38.0,14,7,17,47,53,−6,49,2019-20
14,Levante,38.0,9,14,15,46,57,−11,41,2020-21
19,Levante,38.0,8,11,19,51,76,−25,35,2021-22
